instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p06.txt,2,ASRank,1735,169,1,0.0225892,0.0264301,0.00174743,0,0,212346
p06.txt,2,MMAS,1735,169,1,0.0233227,0.0290579,0.00403895,0,0,312356
p06.txt,2,ACS,1735,169,1,0.0238216,0.0276987,0.0142225,0,0,412348
p07.txt,2,AS,1458,749,1,0.0965614,0.120463,0.0218727,0,0,112356
p07.txt,2,ASRank,1458,749,1,0.0833341,0.126253,0.0314097,0,0,212359
p07.txt,2,MMAS,1458,749,1,0.0988164,0.10498,0.00559789,0,0,312364
p07.txt,2,ACS,1458,749,1,0.0850724,0.0961895,0.00498728,0,0,412352
p08.txt,2,AS,13549094,6402560,1,0.246527,0.265305,0.0273685,0,0,112352
p08.txt,2,ASRank,13549094,6402560,1,0.182308,0.288224,0.0578924,0,0,212357
p08.txt,2,MMAS,13549094,6402560,1,0.181532,0.22274,0.0247313,0,0,312348
p08.txt,2,ACS,13509694,6390248,1,0.195514,0.230964,0.0118534,0,0,412352
p01.txt,2,AS,309,165,1,0.0246198,0.0307574,0.0100968,0,0,112351
p01.txt,2,ASRank,309,165,1,0.0230495,0.0253993,0.00523696,0,0,212359
p01.txt,2,MMAS,309,165,1,0.0229387,0.027395,0.00567379,0,0,312362
p01.txt,2,ACS,309,165,1,0.0208809,0.0243855,0.00657387,0,0,412365
p02.txt,2,AS,51,26,1,0.0103069,0.0115383,0.000829152,0,0,112347
p02.txt,2,ASRank,51,26,1,0.010505,0.0113462,0.00119413,0,0,212361
p02.txt,2,MMAS,51,26,1,0.0103863,0.0104532,8.9186e-05,0,0,312352
p02.txt,2,ACS,51,26,1,0.0089589,0.00905196,5.55925e-05,0,0,412364
p03.txt,2,AS,150,190,1,0.011856,0.0119627,0.000141479,0,0,112362
p03.txt,2,ASRank,150,190,1,0.0119982,0.013137,0.00162112,0,0,212355
p03.txt,2,MMAS,150,190,1,0.0118596,0.0119719,6.77074e-05,0,0,312356
p03.txt,2,ACS,150,190,1,0.0107523,0.0108665,0.000138642,0,0,412354
p04.txt,2,AS,107,50,1,0.0152689,0.0202608,0.00551525,0,0,112356
p04.txt,2,ASRank,107,50,1,0.0103791,0.0124524,0.00339786,0,0,212362
p04.txt,2,MMAS,107,50,1,0.010289,0.0104344,0.000104301,0,0,312354
p04.txt,2,ACS,107,50,1,0.0087685,0.010742,0.00817197,0,0,412346
